id,recordDate,recordTime,date,shift,shiftStartAt,shiftEndAt,machineId,machineName,productName,partNo,step,workMinutes,timeSlots,minutesPerSlot,machineSpeed,cavityQty,normalMinutes,changeoverMinutes,inspectionMinutes,equipmentRepairMinutes,moldRepairMinutes,materialChangeMinutes,emergencyStopMinutes,meetingMinutes,plannedStopMinutes,goodQty,ngQty,testQty,note,createdAt,updatedAt,source
seed-1-ocp-80t-82,,,2026-03-24,夜,,,1-ocp-80t,1# OCP-80T,Arc Stack Top,48187104AA,-,595.39,119.08,5,100,4,255,0,0,0,330.39,0,0,10,0,78724,0,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-83,,,2026-03-25,白,,,1-ocp-80t,1# OCP-80T,Arc Stack Top,48187104AA,-,594.25,118.85,5,100,4,65,55,35,0,419.25,0,0,20,0,15504,20,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-84,,,2026-03-25,白,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,140,28,5,100,3,25,0,50,0,0,15,0,50,0,0,120,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-85,,,2026-03-25,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,6515.42,1303.08,5,50,1,540,0,55,0,5855.42,0,0,65,0,2490,0,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-86,,,2026-03-26,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,4281.85,856.37,5,50,1,350,15,0,0,3861.85,0,0,55,0,1654,2,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-87,,,2026-03-28,白,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,682.1,136.42,5,100,3,225,0,55,0,347.1,0,0,55,0,60285,150,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-88,,,2026-03-29,白,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1320.04,264.01,5,100,3,410,0,180,0,660.04,15,0,55,0,79200,60,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-89,,,2026-03-30,白,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1082.93,216.59,5,100,3,290,0,20,0,697.93,15,0,60,0,72300,150,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-90,,,2026-03-30,夜,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,433.36,86.67,5,100,3,85,0,35,35,213.36,0,0,65,0,66930,135,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-91,,,2026-03-31,白,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1213.71,242.74,5,100,3,25,0,105,0,1033.71,0,0,50,0,3664,30,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-92,,,2026-03-31,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,5349.33,1069.87,5,50,1,365,0,80,0,4869.33,0,0,35,0,1368,0,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-93,,,2026-04-01,白,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1670.54,334.11,5,100,3,155,65,60,0,1345.54,0,0,45,0,19180,20,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-94,,,2026-04-01,夜,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1256.83,251.37,5,100,3,305,0,75,0,811.83,0,0,65,0,58608,60,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-95,,,2026-04-02,白,,,1-ocp-80t,1# OCP-80T,High Arc Plate,48187053AA,-,1209.76,241.95,5,100,3,240,0,25,330,549.76,15,0,50,0,76615,200,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-96,,,2026-04-02,夜,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,1335.63,267.13,5,110,3,90,115,35,0,1075.63,0,0,20,0,11735,100,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-97,,,2026-04-03,白,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,1215.03,243.01,5,110,3,265,0,55,0,825.03,10,0,60,0,57768,120,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-98,,,2026-04-04,白,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,1233.02,246.6,5,110,3,505,0,75,0,573.02,15,0,65,0,151230,60,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-99,,,2026-04-04,夜,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,1598.72,319.74,5,110,3,225,0,30,0,1323.72,0,0,20,0,24400,50,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-100,,,2026-04-05,白,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,728.05,145.61,5,110,3,30,0,170,0,518.05,0,0,10,0,5733,60,0,,2026-06-27T00:00:00.000Z,,excel-seed
